"V1","V2","V3"
"12_12_3","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"10_12_3","ST_TD_TD","COM2"
"12_15_3","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_13_3","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_7","ST_ST_TD","COM2"
"11_12_3","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_3_7","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_15_3","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"10_12_3","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_2_3","ST_ST_TD","COM2"
"12_16_3","FC_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"1_12_3","ST_TD_TD","COM2"
"11_12_3","ST_ST_TD","COM2"
"12_3_7","ST_ST_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_7","ST_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"3_7_8","ST_ST_TD","COM2"
"17_3_8","FC_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_8_8","ST_TD_TD","COM2"
"3_8_9","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"10_3_8","ST_TD_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_8_9","ST_ST_TD","COM2"
"3_7_8","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"15_3_8","ST_TD_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_8_9","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_7_8","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_8_8","ST_TD_TD","COM2"
"3_8_8","ST_TD_TD","COM2"
"3_8_9","ST_ST_TD","COM2"
"17_3_8","FC_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"17_3_8","FC_ST_TD","COM2"
"2_3_8","ST_ST_TD","COM2"
"16_3_8","FC_ST_TD","COM2"
"3_8_8","ST_TD_TD","COM2"
"1_3_8","ST_TD_TD","COM2"
"11_3_8","ST_ST_TD","COM2"
"3_7_8","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_13_3","ST_TD_TD","COM2"
"10_15_3","ST_TD_TD","COM2"
"15_17_3","FC_ST_TD","COM2"
"15_3_8","ST_TD_TD","COM2"
"15_3_9","ST_ST_TD","COM2"
"12_15_3","ST_TD_TD","COM2"
"15_3_9","ST_ST_TD","COM2"
"15_3_9","ST_ST_TD","COM2"
"15_3_4","ST_ST_TD","COM2"
"12_15_3","ST_TD_TD","COM2"
"15_3_4","ST_ST_TD","COM2"
"15_3_8","ST_TD_TD","COM2"
"12_15_3","ST_TD_TD","COM2"
"15_3_7","ST_ST_TD","COM2"
"11_15_3","ST_ST_TD","COM2"
"15_3_8","ST_TD_TD","COM2"
"3_4_9","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"16_3_4","FC_ST_ST","COM2"
"3_4_7","ST_ST_ST","COM2"
"3_4_4","ST_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"12_15_3","ST_TD_TD","COM2"
"12_17_3","FC_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"10_12_3","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_15_3","ST_TD_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_7","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"11_12_3","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_7","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_9","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"10_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"3_4_8","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"15_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"3_4_4","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_7","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_7","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"2_3_4","ST_ST_ST","COM2"
"16_3_4","FC_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"1_3_4","ST_ST_TD","COM2"
"11_3_4","ST_ST_ST","COM2"
"3_4_7","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"10_12_3","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_12_3","ST_TD_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_3_9","ST_ST_TD","COM2"
"12_16_3","FC_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"12_3_7","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_7_8","ST_ST_TD","COM2"
"15_3_8","ST_TD_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"3_8_9","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"11_3_8","ST_ST_TD","COM2"
"12_3_8","ST_TD_TD","COM2"
"10_3_9","ST_ST_TD","COM2"
"17_17_3","FC_FC_ST","COM2"
"13_17_3","FC_ST_TD","COM2"
"3_4_9","ST_ST_ST","COM2"
"11_3_4","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_9","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"10_3_4","ST_ST_TD","COM2"
"15_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"3_4_4","ST_ST_ST","COM2"
"3_4_4","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"13_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_4","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_7","ST_ST_ST","COM2"
"11_3_4","ST_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"17_3_4","FC_ST_ST","COM2"
"3_4_7","ST_ST_ST","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_9","ST_ST_ST","COM2"
"3_4_8","ST_ST_TD","COM2"
"3_4_9","ST_ST_ST","COM2"
"3_4_7","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"2_3_4","ST_ST_ST","COM2"
"16_3_4","FC_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"1_3_4","ST_ST_TD","COM2"
"11_3_4","ST_ST_ST","COM2"
"3_4_7","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"12_3_4","ST_ST_TD","COM2"
"3_4_8","ST_ST_TD","COM2"
"12_3_4","ST_ST_TD","COM2"
"17_3_4","FC_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"17_3_4","FC_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
"3_4_9","ST_ST_ST","COM2"
